,perimeter1_cm,width1_cm,heigth1_cm,perimeter2_cm,width2_cm,heigth2_cm,prox_angl_macr,distal_angl_macr,tomat_pericap_area,tomat_pericap_area_ratio,tomat_pericap_thick,tomat_pericap_thick_ratio,photo_id
0,78.31,21.43,25.21,83.16,22.55,26.6,120.3,140.8,92.13,0.19,1.16,0.2,7373.0
1,80.39420355294716,21.2316762578065,25.322381194430758,82.94454647957716,22.32817682365788,26.63312085095738,129.44705631656228,140.46157295852694,94.66391180228041,0.19686344191374644,1.192223830531809,0.20000760226681288,7373.0
2,64.07,16.83,19.79,65.93,17.61,20.71,133.6,133.7,35.8,0.12,0.56,0.2,7205.0
3,63.56890422875148,16.621856245497856,20.405467175863674,67.7065553815712,17.50644180464667,21.603573999668775,135.49465039359862,129.24514308285922,54.008178697199185,0.17843736065955176,0.8172790225459896,0.20001162639140144,7205.0
4,64.22,17.38,20.79,69.87,18.34,21.97,130.3,139.8,62.73,0.2,0.94,0.2,6894.0
5,64.6181150138484,17.236559900193363,20.498601803462133,69.9355711513592,18.18734599870663,22.256365134572334,130.79679585623416,135.78248505879063,59.79929646189929,0.18086911094599087,0.8761174889013792,0.20001135850774932,6894.0
6,91.12,14.79,26.33,81.49,16.83,29.87,111.0,76.3,76.62,0.19,0.98,0.2,6974.0
7,77.00004753834416,15.799273413705231,28.297579535653398,80.22867059381784,16.60887592443141,29.704878518628547,110.62069574519131,89.97684861202069,70.80270935829172,0.17948868966784917,0.9199411950478275,0.20000647818438227,6974.0
8,61.69,13.59,22.41,81.97,16.58,30.7,99.1,92.1,72.36,0.18,0.92,0.2,7327.0
9,79.50803179487247,15.987644159526205,28.64927315723988,82.72892647457316,16.824470893052045,30.599872308705702,104.76714241716392,95.09871201627178,77.31881226316858,0.18717755376746814,0.9755623162677193,0.20000203800946342,7327.0
10,67.71,18.25,22.06,73.26,19.23,23.25,145.2,126.5,69.12,0.2,0.98,0.2,7727.0
11,66.83177291269158,19.007219865670287,17.36554001581212,75.05756111987986,19.460298105605546,23.655715099660185,134.91621585903965,124.71844816644949,74.20860714721695,0.19400782941067768,1.0037974477180125,0.2000222756900775,7727.0
12,80.15,16.61,29.63,84.77,17.47,31.4,90.6,99.4,84.74,0.19,1.04,0.2,6981.0
13,79.6092209647743,17.15641083445498,28.982453751467247,83.54601785018549,17.90448897202071,30.47569167533343,105.31914258114404,104.56101049317923,84.85059558588962,0.19036514272997201,1.0608824223580744,0.2000123056353409,6981.0
14,62.3,17.14,19.71,68.79,17.92,20.77,143.1,128.2,36.19,0.12,0.54,0.2,7387.0
15,65.76296098375802,17.598488175786343,21.329091004018974,70.21747539645341,18.481745484857246,22.15249585987812,134.46720545287678,125.97297956082522,55.4382282731392,0.17093897667558444,0.8152910780491067,0.20000868052220475,7387.0
