,Combined,perimeter1_cm,width1_cm,heigth1_cm,perimeter2_cm,width2_cm,heigth2_cm,prox_angl_macr,distal_angl_macr,tomat_pericap_area,tomat_pericap_area_ratio,tomat_pericap_thick,tomat_pericap_thick_ratio
MSE,11.666186641027679,12.228695880724802,0.3588452779339399,2.106881238588542,3.2466899165701104,0.23398483943649648,0.6459585440609572,23.807953580459,36.346354597975214,61.0081885191555,0.0003214359730257485,0.010364169168993085,1.692285551436228e-06
MAE,1.6657360463777886,2.0190341522917428,0.46847893318372513,0.9322418301603874,1.386360307763127,0.40721792937546014,0.6108644385806938,3.554126539009284,4.686164859476481,5.834144291574375,0.013261964856789668,0.0767591637174226,0.00017814654397933525
R2,0.7824674931642933,0.8909718146715838,0.948608316074359,0.8876233154020429,0.9687690949530025,0.9682186637362988,0.9693679612454856,0.8889706742108855,0.8905529524497299,0.8817163007285514,0.3582710357291635,0.7522028930030926,-0.015663104232678027
