,Combined,perimeter1_cm,width1_cm,heigth1_cm,perimeter2_cm,width2_cm,heigth2_cm,prox_angl_macr,distal_angl_macr,tomat_pericap_area,tomat_pericap_area_ratio,tomat_pericap_thick,tomat_pericap_thick_ratio
MSE,7.0156931771353745,7.660758196523192,0.26789162747201484,0.7909524494095361,1.9790785160453657,0.20830183741449626,0.38605646787167547,13.98114514626484,24.246446198053274,34.66232014883468,0.00016578648050917923,0.005200030138555098,1.7211163477756963e-06
MAE,1.1821484486937084,1.5924273040739174,0.376601971672627,0.5508158640336188,1.1357925436708893,0.34855995983390486,0.43167549139614847,2.6487291546191196,3.6220265512749283,3.426823612888487,0.008150161100646197,0.043923705078787685,0.0002550646814249581
R2,0.8409843973748035,0.9316984760637281,0.9616341563009175,0.9578122334038992,0.9809626373927136,0.9717070954034455,0.9816927931459327,0.9347983809652737,0.9269884977650211,0.9327961122587978,0.6690165527343125,0.8756723859269205,-0.03296655286331984
