line,photo_id,perimeter1_cm,width1_cm,heigth1_cm,perimeter2_cm,width2_cm,heigth2_cm,prox_angl_macr,distal_angl_macr,tomat_pericap_area,tomat_pericap_area_ratio,tomat_pericap_thick,tomat_pericap_thick_ratio
709,6905,73.29,18.31,25.24,77.31,19.29,26.13,121.60,37.30,76.79,0.19,1.04,0.20
226,6909,77.72,18.89,26.06,81.86,19.87,27.49,117.90,130.40,83.39,0.19,1.06,0.20
354,6910,69.3,17.81,22.99,73.41,18.73,24.23,120.60,138.70,78.00,0.21,1.12,0.20
738,6911,74.51,20.37,23.47,78.65,21.32,24.70,135.30,138.50,82.29,0.19,1.09,0.20
185,6915,82.54,19.82,28.52,88.17,20.82,30.01,120.40,129.30,98.44,0.19,1.17,0.20
194,6916,72.94,17.78,24.24,75.29,18.67,25.48,127.60,121.20,74.66,0.19,1.04,0.20
758,6917,77.06,20.27,25.35,81.52,21.30,26.68,135.20,121.10,88.99,0.19,1.14,0.20
742,6919,96.16,23.94,32.41,100.27,25.18,33.61,131.00,126.80,133.08,0.19,1.39,0.20
219,6926,71.9,17.94,24.05,75.85,18.87,25.34,129.40,125.20,75.80,0.19,1.05,0.20
361,6927,82.45,19.45,28.73,86.74,20.49,30.06,124.20,116.30,105.71,0.21,1.28,0.20
391,6928,73.01,20.32,22.3,76.05,21.35,23.17,144.20,147.10,85.23,0.21,1.18,0.20
750,6930,87.23,18.07,32.89,91.68,19.01,34.61,97.60,81.80,99.80,0.19,1.14,0.20
573,6931,88.19,22.38,29.32,92.70,23.59,30.70,128.70,132.20,114.64,0.19,1.29,0.20
753,6933,66.64,17.89,21.43,70.12,18.84,22.55,128.30,122.90,58.39,0.18,0.87,0.20
749,6934,87.51,23.2,27.62,90.85,24.45,29.06,140.90,130.80,108.69,0.19,1.25,0.20
166,6936,65.15,17.59,20.61,68.62,18.53,21.49,138.20,140.90,57.19,0.18,0.87,0.20
204,6938,65.55,16.48,21.59,68.26,17.33,22.19,135.70,137.90,62.20,0.20,0.95,0.20
743,6939,87.97,19.47,31.27,92.86,20.57,32.96,111.40,108.40,107.47,0.19,1.21,0.20
728,6943,75.04,20.72,23.97,79.69,21.80,25.26,134.70,132.60,85.49,0.19,1.12,0.20
525,6946,62.45,15.35,21.17,67.05,16.16,22.27,129.70,124.80,57.73,0.20,0.90,0.20
712,6950,64.47,16.19,21.62,67.98,17.00,22.58,130.80,122.40,59.89,0.20,0.92,0.20
317,6952,82.86,18.79,21.62,87.00,21.72,29.11,126.30,133.80,100.56,0.19,1.21,0.20
321,6953,70.42,18.15,23.07,74.90,19.09,24.34,130.90,124.00,73.07,0.19,1.02,0.20
741,6956,91.49,19.02,33.31,95.57,20.04,35.28,114.00,98.80,110.40,0.19,1.21,0.20
529,6958,69.95,17.3,23.81,73.84,18.20,24.93,126.90,121.70,72.33,0.19,1.02,0.20
711,6960,88.7,22.86,24.77,93.93,24.12,30.90,118.60,142.20,137.02,0.23,1.54,0.20
524,6961,94.63,21.33,33.79,99.03,22.41,35.53,111.30,108.60,133.79,0.21,1.42,0.20
686,6963,88,20.93,30.14,92.26,22.02,31.79,124.70,112.00,109.74,0.19,1.24,0.20
682,6966,74.39,20.69,23.99,78.61,21.77,25.29,130.60,136.50,83.39,0.19,1.11,0.20
717,6970,89.83,20.74,31.61,98.76,21.86,33.27,118.90,120.80,129.37,0.23,1.40,0.20
367,6972,75.15,15.93,26.51,77.65,16.80,28.00,110.20,103.70,75.22,0.19,1.01,0.20
359,6973,90.57,18.33,33.89,95.57,19.45,35.62,101.10,88.60,104.90,0.19,1.15,0.20
360,6974,91.12,14.79,26.33,81.49,16.83,29.87,111.00,76.30,76.62,0.19,0.98,0.20
358,6975,82.67,18.08,29.37,84.94,18.48,30.87,106.00,103.80,71.51,0.16,0.87,0.20
748,6980,68.87,14.98,24.82,71.71,15.77,26.07,110.60,89.40,62.24,0.20,0.91,0.20
345,6981,80.15,16.61,29.63,84.77,17.47,31.40,90.60,99.40,84.74,0.19,1.04,0.20
510,6982,69.59,19.11,22.06,73.36,20.10,23.25,147.80,134.30,72.83,0.19,1.04,0.20
355,6988,91.69,19.21,33.17,95.38,20.24,34.92,108.60,93.50,109.23,0.19,1.20,0.20
320,6989,82.4,21.14,26.19,84.16,22.22,27.58,133.10,125.60,94.63,0.19,1.17,0.20
189,6991,73.72,16.48,25.35,75.73,17.25,26.57,110.00,125.60,79.88,0.21,1.11,0.20
495,6994,74.76,21.01,22.36,78.44,21.99,23.53,151.80,148.40,82.68,0.19,1.10,0.20
484,6995,83.75,19.02,28.36,87.96,20.01,29.81,124.30,128.90,115.52,0.23,1.39,0.20
342,7000,64.9,15.69,22.41,69.00,16.52,23.59,124.70,112.60,49.74,0.16,0.75,0.20
193,7005,70.99,16.88,25.27,74.37,17.58,26.60,122.50,88.00,63.03,0.18,0.88,0.20
565,7009,75.75,17.91,25.95,79.99,18.84,27.33,123.80,124.40,83.27,0.19,1.09,0.20
560,7010,68.56,18.81,20.9,71.48,19.68,21.99,140.00,140.00,68.62,0.19,1.00,0.20
217,7011,48.51,14.44,14.39,52.79,15.18,15.13,123.30,139.10,31.69,0.18,0.63,0.20
176,7013,69.21,17.14,23.15,72.24,17.95,24.31,128.60,128.00,69.07,0.19,1.00,0.20
363,7014,86.78,23.57,27.36,91.23,24.81,28.81,132.90,143.80,112.85,0.19,1.29,0.20
1042,7157,65.63,16.03,21.35,68.67,16.86,22.44,123.90,112.30,64.01,0.21,0.98,0.20
1240,7160,74.4,17.15,25.21,75.63,18.06,26.49,119.00,104.80,74.28,0.19,1.03,0.20
1193,7161,67.34,12.62,25.58,70.90,13.29,26.77,93.30,95.60,56.49,0.20,0.83,0.20
1340,7163,55.67,12.01,20.29,58.70,12.67,21.35,107.90,99.00,41.57,0.20,0.74,0.21
1345,7164,66.22,14.81,23.57,69.95,15.57,24.81,118.80,119.30,61.42,0.20,0.92,0.20
1310,7166,68.91,17.01,23.41,71.81,17.84,24.40,114.80,127.70,62.06,0.18,0.90,0.20
1330,7167,75.92,20.61,23.65,79.15,21.72,24.93,147.80,140.50,92.04,0.21,1.22,0.20
