line,photo_id,perimeter1_cm,width1_cm,heigth1_cm,perimeter2_cm,width2_cm,heigth2_cm,prox_angl_macr,distal_angl_macr,tomat_pericap_area,tomat_pericap_area_ratio,tomat_pericap_thick,tomat_pericap_thick_ratio
1243,7454,74.94,20.72,23.87,79.18,21.83,24.95,142.40,132.30,61.05,0.14,0.80,0.20
1092,7455,73.67,16.77,25.9,78.82,17.67,27.27,108.00,117.20,76.02,0.19,1.01,0.20
849,7456,90.8,23.28,29.31,95.56,24.45,30.87,139.20,137.40,109.88,0.18,1.20,0.20
1071,7458,58.14,15.71,17.8,60.90,16.52,18.53,109.70,145.30,44.26,0.18,0.76,0.20
114,7694,94.15,27.19,28.33,99.33,28.64,29.84,156.80,135.70,158.95,0.23,1.68,0.20
1038,7704,57.16,11.95,21.04,67.82,12.53,22.55,102.90,98.10,44.15,0.20,0.68,0.20
453,7714,79.37,16.03,22.55,85.12,16.89,31.21,96.80,105.80,76.44,0.18,0.93,0.20
677,7722,54.35,15.63,16.64,58.76,16.44,17.33,144.50,139.60,48.75,0.21,0.87,0.20
1410,7723,49.77,14.02,15.43,57.10,14.79,16.22,138.50,143.70,37.69,0.20,0.69,0.20
1434,7727,67.71,18.25,22.06,73.26,19.23,23.25,145.20,126.50,69.12,0.20,0.98,0.20
99,7741,70.73,19.49,21.88,82.67,17.19,30.03,89.30,102.30,64.32,0.16,0.81,0.20
